336,v-component of wind [m/s],85000[Pa] ISBL="Isobaric surface"
337,Absolute vorticity [1/s],85000[Pa] ISBL="Isobaric surface"
338,Cloud mixing ratio [kg/kg],85000[Pa] ISBL="Isobaric surface"
339,Ice water mixing ratio [kg/kg],85000[Pa] ISBL="Isobaric surface"
340,Rain mixing ratio [kg/kg],85000[Pa] ISBL="Isobaric surface"
341,Snow mixing ratio [kg/kg],85000[Pa] ISBL="Isobaric surface"
342,Graupel (snow pellets) [kg/kg],85000[Pa] ISBL="Isobaric surface"
343,Icing severity [-],85000[Pa] ISBL="Isobaric surface"
344,Ozone Mixing Ratio [kg/kg],85000[Pa] ISBL="Isobaric surface"
345,Geopotential height [gpm],90000[Pa] ISBL="Isobaric surface"
346,Temperature [C],90000[Pa] ISBL="Isobaric surface"
347,Relative humidity [%],90000[Pa] ISBL="Isobaric surface"
348,Total cloud cover [%],90000[Pa] ISBL="Isobaric surface"
349,Vertical velocity (pressure) [Pa/s],90000[Pa] ISBL="Isobaric surface"
350,Verical velocity (geometric) [m/s],90000[Pa] ISBL="Isobaric surface"
351,u-component of wind [m/s],90000[Pa] ISBL="Isobaric surface"
352,v-component of wind [m/s],90000[Pa] ISBL="Isobaric surface"
353,Absolute vorticity [1/s],90000[Pa] ISBL="Isobaric surface"
354,Cloud mixing ratio [kg/kg],90000[Pa] ISBL="Isobaric surface"
355,Ice water mixing ratio [kg/kg],90000[Pa] ISBL="Isobaric surface"
356,Rain mixing ratio [kg/kg],90000[Pa] ISBL="Isobaric surface"
357,Snow mixing ratio [kg/kg],90000[Pa] ISBL="Isobaric surface"
358,Graupel (snow pellets) [kg/kg],90000[Pa] ISBL="Isobaric surface"
359,Icing severity [-],90000[Pa] ISBL="Isobaric surface"
360,Geopotential height [gpm],92500[Pa] ISBL="Isobaric surface"
361,Temperature [C],92500[Pa] ISBL="Isobaric surface"
362,Relative humidity [%],92500[Pa] ISBL="Isobaric surface"
363,Total cloud cover [%],92500[Pa] ISBL="Isobaric surface"
364,Vertical velocity (pressure) [Pa/s],92500[Pa] ISBL="Isobaric surface"
365,Verical velocity (geometric) [m/s],92500[Pa] ISBL="Isobaric surface"
366,u-component of wind [m/s],92500[Pa] ISBL="Isobaric surface"
367,v-component of wind [m/s],92500[Pa] ISBL="Isobaric surface"
368,Absolute vorticity [1/s],92500[Pa] ISBL="Isobaric surface"
369,Cloud mixing ratio [kg/kg],92500[Pa] ISBL="Isobaric surface"
370,Ice water mixing ratio [kg/kg],92500[Pa] ISBL="Isobaric surface"
371,Rain mixing ratio [kg/kg],92500[Pa] ISBL="Isobaric surface"
372,Snow mixing ratio [kg/kg],92500[Pa] ISBL="Isobaric surface"
373,Graupel (snow pellets) [kg/kg],92500[Pa] ISBL="Isobaric surface"
374,Geopotential height [gpm],95000[Pa] ISBL="Isobaric surface"
375,Temperature [C],95000[Pa] ISBL="Isobaric surface"
376,Relative humidity [%],95000[Pa] ISBL="Isobaric surface"
377,Total cloud cover [%],95000[Pa] ISBL="Isobaric surface"
378,Vertical velocity (pressure) [Pa/s],95000[Pa] ISBL="Isobaric surface"
379,Verical velocity (geometric) [m/s],95000[Pa] ISBL="Isobaric surface"
380,u-component of wind [m/s],95000[Pa] ISBL="Isobaric surface"
381,v-component of wind [m/s],95000[Pa] ISBL="Isobaric surface"
382,Absolute vorticity [1/s],95000[Pa] ISBL="Isobaric surface"
383,Cloud mixing ratio [kg/kg],95000[Pa] ISBL="Isobaric surface"
384,Ice water mixing ratio [kg/kg],95000[Pa] ISBL="Isobaric surface"
385,Rain mixing ratio [kg/kg],95000[Pa] ISBL="Isobaric surface"
386,Snow mixing ratio [kg/kg],95000[Pa] ISBL="Isobaric surface"
387,Graupel (snow pellets) [kg/kg],95000[Pa] ISBL="Isobaric surface"
388,Icing severity [-],95000[Pa] ISBL="Isobaric surface"
